Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Odisha,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Odisha wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Andhra Pradesh,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Andhra Pradesh wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Tamil Nadu,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Tamil Nadu wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Bintan,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Bintan wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
West Kalimantan,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,West Kalimantan wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Indonesia Other,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Indonesia Other wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Jajarm,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Jajarm wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Discovery Bay,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Discovery Bay wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
UCRusal,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,UCRusal wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Jamaica Other,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Jamaica Other wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Turgai,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Turgai wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Krasnogorsky,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Krasnogorsky wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
