,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,158,Shanxi,Xiyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,159,Shanxi,Yuanping,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,160,Shanxi,Yangquan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,161,Shanxi,Yuanqu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,162,Shanxi,Zhongyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,163,Shanxi,Zuoquan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,164,Shanxi,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,165,Sichuan,Guangyuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,166,Sichuan,Lushan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,167,Sichuan,Miyi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,168,Sichuan,Tianquan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,169,Sichuan,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,170,Xinjiang,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,171,Yunnan,Annin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,172,Yunnan,Chengong,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,173,Yunnan,Fumin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,174,Yunnan,Guangnan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,175,Yunnan,Gudu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,176,Yunnan,Heqing,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,177,Yunnan,Hongta,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,178,Yunnan,Jinnin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
