,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
379,Henan,Huaqing,393.0,1.0,0.1,1.23
380,Henan,Qiangjin Aluminium,398.0,1.0,0.1,1.23
381,Henan,Senze,403.0,1.0,0.1,1.23
382,Henan,Taixing,408.0,1.0,0.1,1.23
383,Henan,Wusheng,413.0,1.0,0.1,1.23
384,Henan,Xinfa - Jiaokou,418.0,1.0,0.1,1.23
385,Henan,Xinfa - Xiaoyi,423.0,1.0,0.1,1.23
386,Henan,Xingan Chemical,428.0,1.0,0.1,1.23
387,Henan,Huayin,38.0,1.0,0.1,1.23
388,Henan,Xingan Chemical import,433.0,1.0,0.1,1.0
389,Henan,Yangquan Zhaofeng,438.0,1.0,0.1,1.23
390,Henan,Gangyuan Jiaohua,443.0,1.0,0.1,1.23
391,Henan,Tiantong,458.0,1.0,0.1,1.23
392,Henan,Fusheng,463.0,1.0,0.1,1.23
393,Henan,YMG - Wenshan,468.0,1.0,0.1,1.23
394,Henan,Guangxi - blending,473.0,2.0,0.1,1.0
395,Henan,Guizhou - blending,478.0,2.0,0.1,1.0
396,Shanxi,Bosai Xianfeng domestic,4.0,1.0,0.1,1.23
397,Shanxi,Jinjiang Tiandong,44.0,1.0,0.1,1.23
398,Shanxi,Henan - blending,484.0,2.0,0.1,1.0
399,Shanxi,Shanxi - blending,489.0,2.0,0.1,1.0
400,Shanxi,Other - blending,494.0,2.0,0.1,1.0
401,Shanxi,Xinfa Jingxi,49.0,1.0,0.1,1.23
402,Shanxi,Chalco Huaxing,349.0,1.0,0.1,1.23
403,Shanxi,Tiangui,59.0,1.0,0.1,1.23
404,Shanxi,Jinjiang Longzhou,34.0,1.0,0.1,1.23
405,Shanxi,Huasheng,54.0,2.0,0.1,1.0
406,Shanxi,Chalco Xinghua,449.0,1.0,0.1,1.23
407,Shanxi,Chalco Xinghua import,454.0,1.0,0.1,1.0
408,Shanxi,Chalco Guizhou,64.0,1.0,0.1,1.23
409,Shanxi,Chalco Zunyi,69.0,1.0,0.1,1.23
410,Shanxi,Xian,74.0,1.0,0.1,1.23
411,Shanxi,Huafei,79.0,1.0,0.1,1.23
412,Shanxi,Bosai Xianfeng import,9.0,2.0,0.1,1.0
413,Shanxi,Qingzhen Guanglv,84.0,1.0,0.1,1.23
414,Shanxi,Qizheng Chemical,89.0,1.0,0.1,1.23
