refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Huajin,Guangxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5854716703019811
Huajin,Henan,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Shanxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Other,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou domestic,Guangxi,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou domestic,Guizhou,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6106675099300171
Chalco Zhengzhou domestic,Shanxi,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou domestic,Other,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou import,Guangxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou import,Guizhou,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou import,Shanxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhengzhou import,Other,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5131668638247323
Chalco Zhongzhou Dom. Sinter,Guangxi,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhongzhou Dom. Sinter,Guizhou,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6071223785196563
Chalco Zhongzhou Dom. Sinter,Shanxi,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhongzhou Dom. Sinter,Other,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhongzhou Dom. Bayer,Guangxi,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zhongzhou Dom. Bayer,Guizhou,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
